CollectorVerbatim	Standarized_Collector
Cortés, Sandra	Cortés-Sánchez, Sandra Pilar
Corzo-Gualdrón, A.M.	Corzo-Gualdrón, A.M.
CPR	CPR
Croat, T.B.	Croat, T.B.
Cruz, H.	Cruz, H.
Cruz, I.	Cruz, I.
Cruz, M.	Cruz, M.
Cruz, M.P.	Cruz, M.P.
Cuadras, J.	Cuadras, J.
Cuadros-V. H.	Cuadros-V. H.
Cuadros, N.	Cuadros, N.
Cuadros, P.	Cuadros, P.
Cuatrecasas, J.	Cuatrecasas, José
Cubillos, C.	Cubillos, C.
Cuellar, D.M.	Cuellar, D. M.
Cuellar, Y.	Cuellar, Y.
Cuervo, E.	Cuervo, E.
Curvo, E.	Cuervo, E.
Daniel, R.	Daniel, R.
Davidse, G.	Davidse, G.
Dawe, M.T.	Dawe, M.T.
Del Risco, Andrés	Del Risco, Andrés
Delgado, P.	Delgado, P.
Delgado, W.	Delgado, W.
Dendrología II	Dendrología II
Devia, B.	Devia, B.
Díaz	Díaz
Díaz-D., D.J.	Díaz-D., D.J.
Díaz-Espinosa, M.	Díaz-Espinosa, A. M.
Díaz-Granados, Mauricio	Diazgranados, Mauricio
Díaz-Piedrahita, S.	Díaz-Piedrahita, Santiago
Díaz-V., J.	Díaz-V., J.
Díaz, A.	Díaz, A.
Díaz, A.M.	Díaz, A.M.
Díaz, B.	Díaz, B.
Díaz, E.	Díaz, E.
Díaz, J.	Díaz, J.
Díaz, R.	Díaz, R.
Díaz, W.	Díaz, W.
Diazgranados, M.	Diazgranados, Mauricio
Díez, B.	Díez, B.
Duarte-García, D.C.	Duarte-García, D.C.
Duarte, P.	Duarte, P.
Dueñas, H.	Dueñas, Hilda
Dugand, A.	Dugand, Armando
Duitama, O.	Duitama, O.
Duke, J.A.	Duke, J.A.
Duncan, T.	Duncan, T.
Duque-Jaramillo, J.	Duque-Jaramillo, José María
Duque-Jaramillo, J.M.	Duque-Jaramillo, José María
Duque-V., A.	Duque-V., A.
Durán, F.	Durán, F.
Durán, M.	Durán, M.
Dwyer, J.D.	Dwyer, J.D.
E.P.K.	Killip, Ellsworth Paine
Echeona, O.M.	Echeona, O.M.
Echeverry, E.R.	Echeverry, E.R.
Eguiluz, P.	Eguiluz, P.
Eljadue, L.	Eljadue, L.
Emilio	Emilio
Enciso, E.	Enciso, E.
Equiluz, P.	Equiluz, P.
Eraso, E.	Eraso, E.
Eriksen, B.	Eriksen, B.
Escobar, W.	Escobar, W.
Espinosa-Pinzón, Brayam Felipe	Espinosa-Pinzón, Brayam Felipe
Espinosa, P.	Espinosa, P.
Espinosa, Y.	Espinosa, Y.
Espinoza, V.	Espinoza, V.
Espitia, M.	Espitia, M.
Esquivel, H.	Esquivel, H.
Estrada, M.	Estrada, M.
Estudiantes	Estudiantes
Estudiantes Botánica G. 1981	Estudiantes Botánica G. 1981
Estudiantes Dendrología II - 1962	Estudiantes Dendrología II - 1962
Estupiñán, A.C.	Estupiñán, A.C.
Euyeuyd, Y.	Euyeuyd, Y.
Ewan, J.A.	Ewan, J.A.
Fadul, J.E.	Fadul, J.E.
Fajardo-G., F.	Fajardo-Gutiérrez, Francisco
Fajardo-G., Francisco	Fajardo-Gutiérrez, Francisco
Fajardo-Gutiérrez, Francisco	Fajardo-Gutiérrez, Francisco
Fajardo, F.	Fajardo-Gutiérrez, Francisco
Fajardo, Francisco	Fajardo-Gutiérrez, Francisco
Fajardo, R.	Fajardo, R.
Fajardo, Y.	Fajardo, Y.
Farfán, J.	Farfán, J.
Fassett, N.C.	Fassett, N.C.
Fernández-A., J. L.	Fernández-Alonso, José Luis
Fernández-Alonso, J. L.	Fernández-Alonso, José Luis
Fernández-Alonso, J.L.	Fernández-Alonso, José Luis
Fernández-Alonso, José Luis	Fernández-Alonso, José Luis
Fernández-Pérez, A.	Fernández-Pérez, Álvaro
Fernández-V., S.	Fernández-V., S.
Fernández, A.	Fernández-Pérez, Álvaro
